,Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Tipo de delito,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
33,2015,1,Aguascalientes,1001,Aguascalientes,Acoso sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
131,2015,1,Aguascalientes,1002,Asientos,Acoso sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
229,2015,1,Aguascalientes,1003,Calvillo,Acoso sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
327,2015,1,Aguascalientes,1004,Cosío,Acoso sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
425,2015,1,Aguascalientes,1005,Jesús María,Acoso sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
523,2015,1,Aguascalientes,1006,Pabellón de Arteaga,Acoso sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
621,2015,1,Aguascalientes,1007,Rincón de Romos,Acoso sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
719,2015,1,Aguascalientes,1008,San José de Gracia,Acoso sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
817,2015,1,Aguascalientes,1009,Tepezalá,Acoso sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
915,2015,1,Aguascalientes,1010,El Llano,Acoso sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1013,2015,1,Aguascalientes,1011,San Francisco de los Romo,Acoso sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1111,2015,2,Baja California,2001,Ensenada,Acoso sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1209,2015,2,Baja California,2002,Mexicali,Acoso sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1307,2015,2,Baja California,2003,Tecate,Acoso sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1405,2015,2,Baja California,2004,Tijuana,Acoso sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1503,2015,2,Baja California,2005,Playas de Rosarito,Acoso sexual,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
